100016|Community College of the Air Force|130 W Maxwell Blvd|Montgomery|AL|"""36112-6613"""|334-953-6436|"""01230800"""|100636|www.maxwell.af.mil/au/ccaf/|2|Community College of the Air Force - Sheppard|917 Missile Road|Sheppard AFB|TX|"""76311-2263"""||Specialized|American Physical Therapy Association, Commission on Accreditation in Physical Therapy Education||Physical Therapy (PTAA) - Programs for the physical therapist assistant|Accredited|Actual|12/01/1976 - Current|
100016|Community College of the Air Force|130 W Maxwell Blvd|Montgomery|AL|"""36112-6613"""|334-953-6436|"""01230800"""|100636|www.maxwell.af.mil/au/ccaf/||||||||Institutional|Southern Association of Colleges and Schools, Commission on Colleges|||Accredited|Estimated|07/01/1980 - Current|
100025|Alabama A & M University|4900 Meridian St|Normal|AL|"""35762"""|256-372-5000|"""00100200"""|100654|www.aamu.edu/||||||||Institutional|Southern Association of Colleges and Schools, Commission on Colleges|||Accredited|Estimated|07/01/1963 - Current|
100025|Alabama A & M University|4900 Meridian St|Normal|AL|"""35762"""|256-372-5000|"""00100200"""|100654|www.aamu.edu/||||||||Specialized|Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics||Didactic Program in Dietetics|Accredited|Actual|12/01/1979 - Current|
100025|Alabama A & M University|4900 Meridian St|Normal|AL|"""35762"""|256-372-5000|"""00100200"""|100654|www.aamu.edu/||||||||Specialized|American Speech-Language-Hearing Association, Council on Academic Accreditation in Audiology and Speech-Language Pathology||Speech-Language Pathology (SP) - Graduate degree programs|Accredited|Actual|10/01/1994 - Current|
100025|Alabama A & M University|4900 Meridian St|Normal|AL|"""35762"""|256-372-5000|"""00100200"""|100654|www.aamu.edu/||||||||Specialized|National Council for Accreditation of Teacher Education||Teacher Education (TED) - Baccalaureate and graduate programs for the preparation of teachers and other professional personnel for elementary and secondary schools|Accredited|Actual|01/01/1973 - Current|
100034|University of Alabama at Birmingham|1530 3rd Avenue South|Birmingham|AL|"""35294-0110"""|205-934-4011|"""00105200"""|100663|www.uab.edu||||||||Institutional|Southern Association of Colleges and Schools, Commission on Colleges|||Accredited|Estimated|07/01/1970 - Current|
100034|University of Alabama at Birmingham|1530 3rd Avenue South|Birmingham|AL|"""35294-0110"""|205-934-4011|"""00105200"""|100663|www.uab.edu||||||||Specialized|American Dental Association, Commission on Dental Accreditation||Endodontics|Accredited|Actual|12/09/1966 - Current|
100034|University of Alabama at Birmingham|1530 3rd Avenue South|Birmingham|AL|"""35294-0110"""|205-934-4011|"""00105200"""|100663|www.uab.edu||||||||Specialized|American Dental Association, Commission on Dental Accreditation||Oral and Maxillofacial Surgery (OMS)|Accredited|Actual|05/24/1968 - Current|
100034|University of Alabama at Birmingham|1530 3rd Avenue South|Birmingham|AL|"""35294-0110"""|205-934-4011|"""00105200"""|100663|www.uab.edu||||||||Specialized|American Dental Association, Commission on Dental Accreditation||Orthodontics & Dentofacial Orthopedics|Accredited|Actual|12/09/1966 - Current|
